ensayo_id,lote_id,fecha,mes,sku,producto,linea,proteina_declarada_g,proteina_medida_g,cumple_proteina,humedad_pct,aerobios_ufc_g,metales_pesados_ppm,metodo,resultado
EN-00361,L202608-01496,2026-08-11,2026-08,BIP-MAS-3,BiPro Mass 3 lb,Polvos & Envasado,26.9,27.2,True,3.08,1326,0.037,Kjeldahl,Aprobado
EN-00362,L202608-01483,2026-08-14,2026-08,BIP-CLA-2N,BiPro Classic Natural 2 lb,Polvos & Envasado,24.0,26.8,True,3.96,3291,0.235,Microbiología,Aprobado
EN-00363,L202601-00916,2026-01-25,2026-01,BIP-LIT-24,BiPro Lite 2.4 lb,Polvos & Envasado,24.0,24.4,True,3.48,4535,0.013,Absorción atómica,Aprobado
EN-00364,L202504-00241,2025-04-12,2025-04,MEG-CRE-10,Megaplex Creatine Power 10 lb,Polvos & Envasado,22.1,21.8,True,2.18,2772,0.037,NIR (analizador infrarrojo),Aprobado
EN-00365,L202511-00798,2025-11-23,2025-11,STK-CRE-SAC,Crea Stack Display sachets,Sachets & Display,22.7,24.4,True,2.44,609,0.02,NIR (analizador infrarrojo),Cuarentena
EN-00366,L202601-00926,2026-01-27,2026-01,MEG-CRE-2,Megaplex Creatine Power 2 lb,Polvos & Envasado,26.0,26.1,True,4.37,843,0.081,Microbiología,Aprobado
EN-00367,L202608-01480,2026-08-09,2026-08,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,23.9,23.2,True,4.07,2089,0.032,NIR (analizador infrarrojo),Rechazado
EN-00368,L202503-00188,2025-03-15,2025-03,NUT-RX,Nut-Rx Vainilla 400 g,Polvos & Envasado,23.8,22.4,False,3.85,398,0.096,Kjeldahl,Aprobado
EN-00369,L202602-01016,2026-02-06,2026-02,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,26.5,25.8,True,2.74,1896,0.046,Absorción atómica,Aprobado
EN-00370,L202603-01139,2026-03-15,2026-03,STK-COMBO,Combo BiPro Lite + Burner Stack,Polvos & Envasado,23.4,22.3,True,4.79,394,0.105,Absorción atómica,Aprobado
EN-00371,L202603-01076,2026-03-05,2026-03,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,24.6,25.6,True,4.65,3862,0.069,Kjeldahl,Aprobado
EN-00372,L202605-01279,2026-05-12,2026-05,RAD-PWD-TAR,Radical Power Drink tarro,Polvos & Envasado,23.3,23.3,True,4.04,111,0.075,Microbiología,Aprobado
EN-00373,L202503-00181,2025-03-11,2025-03,NUT-BAL,Nutra Balance x8 sobres,Sachets & Display,26.3,26.5,True,2.69,308,0.042,Microbiología,Aprobado
EN-00374,L202505-00303,2025-05-23,2025-05,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,26.7,28.9,True,4.83,109,0.041,Kjeldahl,Aprobado
EN-00375,L202505-00284,2025-05-21,2025-05,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,23.1,23.1,True,4.04,449,0.011,Kjeldahl,Aprobado
EN-00376,L202510-00709,2025-10-05,2025-10,RAD-RES-12,Rescue · paca x12,Bebidas RTD (lata),24.7,24.7,True,4.77,118,0.028,NIR (analizador infrarrojo),Aprobado
EN-00377,L202605-01284,2026-05-16,2026-05,STK-BUR-L24,Burner Stack Lata · paca x24,Bebidas RTD (lata),26.1,27.1,True,3.76,1435,0.295,NIR (analizador infrarrojo),Aprobado
EN-00378,L202608-01520,2026-08-05,2026-08,NUT-RX,Nut-Rx Vainilla 400 g,Polvos & Envasado,24.9,25.9,True,3.46,327,0.019,NIR (analizador infrarrojo),Aprobado
EN-00379,L202508-00572,2025-08-03,2025-08,STK-BUR-L24,Burner Stack Lata · paca x24,Bebidas RTD (lata),26.1,25.5,True,3.57,353,0.001,Absorción atómica,Aprobado
EN-00380,L202604-01171,2026-04-26,2026-04,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,24.8,24.9,True,4.38,3172,0.021,Microbiología,Aprobado
EN-00381,L202502-00110,2025-02-25,2025-02,MEG-GAI-3,Gainz 3 lb,Polvos & Envasado,27.0,27.9,True,4.09,610,0.15,NIR (analizador infrarrojo),Aprobado
EN-00382,L202606-01345,2026-06-26,2026-06,NUT-RX,Nut-Rx Vainilla 400 g,Polvos & Envasado,25.9,25.4,True,3.67,1190,0.022,NIR (analizador infrarrojo),Aprobado
EN-00383,L202502-00123,2025-02-18,2025-02,NUT-POP-PK,Nutra Pops pack x12,Polvos & Envasado,23.7,23.3,True,4.69,5714,0.007,NIR (analizador infrarrojo),Aprobado
EN-00384,L202603-01115,2026-03-09,2026-03,NUT-RX,Nut-Rx Vainilla 400 g,Polvos & Envasado,26.0,26.5,True,3.55,1126,0.07,Absorción atómica,Aprobado
EN-00385,L202505-00281,2025-05-17,2025-05,ALI-CAK-VAN,Protein Cake Vainilla,Horneados & Mezclas,25.2,24.2,True,3.68,425,0.168,Microbiología,Aprobado
EN-00386,L202509-00582,2025-09-25,2025-09,ALI-FIT-CHO,Fitbar Chocolate,Barras & Snacks,26.1,27.4,True,3.63,3268,0.174,Kjeldahl,Aprobado
EN-00387,L202510-00701,2025-10-26,2025-10,RAD-ENX,Energy X,Polvos & Envasado,22.3,21.9,True,3.4,391,0.392,NIR (analizador infrarrojo),Aprobado
EN-00388,L202601-00949,2026-01-17,2026-01,NUT-ZOL,Zolé Vainilla 450 g,Polvos & Envasado,26.4,27.2,True,3.26,504,0.041,NIR (analizador infrarrojo),Aprobado
EN-00389,L202607-01403,2026-07-02,2026-07,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,24.5,24.3,True,3.58,1830,0.12,NIR (analizador infrarrojo),Aprobado
EN-00390,L202508-00557,2025-08-15,2025-08,NUT-VEG-400,Nutra Vegan Protein Mocaccino,Polvos & Envasado,23.1,23.1,True,4.54,110,0.059,NIR (analizador infrarrojo),Aprobado
EN-00391,L202507-00475,2025-07-24,2025-07,NUT-POP-CAJ,Nutra Pops caja,Polvos & Envasado,25.7,27.3,True,3.61,315,0.084,Microbiología,Aprobado
EN-00392,L202603-01145,2026-03-20,2026-03,STK-GLU,Gluta Stack,Polvos & Envasado,24.2,24.8,True,4.13,435,0.372,NIR (analizador infrarrojo),Aprobado
EN-00393,L202604-01169,2026-04-16,2026-04,BIP-CLA-3V,BiPro Classic Vainilla 3 lb,Polvos & Envasado,24.7,25.2,True,5.37,2251,0.144,Kjeldahl,Aprobado
EN-00394,L202605-01277,2026-05-04,2026-05,RAD-PWD,Radical Power Drink polvo,Polvos & Envasado,26.8,28.3,True,3.19,3058,0.195,Kjeldahl,Aprobado
EN-00395,L202603-01096,2026-03-20,2026-03,MEG-CRE-10,Megaplex Creatine Power 10 lb,Polvos & Envasado,23.7,23.8,True,2.0,1018,0.408,Absorción atómica,Aprobado
EN-00396,L202506-00417,2025-06-20,2025-06,STK-BUR-L24,Burner Stack Lata · paca x24,Bebidas RTD (lata),23.9,24.8,True,4.61,856,0.019,NIR (analizador infrarrojo),Cuarentena
EN-00397,L202604-01163,2026-04-17,2026-04,BIP-CLA-2N,BiPro Classic Natural 2 lb,Polvos & Envasado,26.9,26.7,True,3.95,522,0.044,Microbiología,Aprobado
EN-00398,L202501-00068,2025-01-19,2025-01,RAD-ENX,Energy X,Polvos & Envasado,24.6,23.7,True,4.25,990,0.02,NIR (analizador infrarrojo),Aprobado
EN-00399,L202601-00968,2026-01-25,2026-01,STK-BUR-L24,Burner Stack Lata · paca x24,Bebidas RTD (lata),25.5,26.6,True,3.92,102,0.087,NIR (analizador infrarrojo),Aprobado
EN-00400,L202605-01233,2026-05-02,2026-05,BIP-CLA-2N,BiPro Classic Natural 2 lb,Polvos & Envasado,22.2,22.6,True,2.78,181,0.075,NIR (analizador infrarrojo),Aprobado
EN-00401,L202608-01510,2026-08-20,2026-08,MEG-SOY,Mega Soy,Polvos & Envasado,23.2,23.8,True,2.68,1660,0.102,NIR (analizador infrarrojo),Aprobado
EN-00402,L202510-00669,2025-10-18,2025-10,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,24.8,25.2,True,4.18,712,0.083,NIR (analizador infrarrojo),Aprobado
EN-00403,L202507-00499,2025-07-20,2025-07,STK-BUR-L12,Burner Stack Lata · paca x12,Bebidas RTD (lata),24.5,24.5,True,3.12,396,0.178,Kjeldahl,Aprobado
EN-00404,L202512-00875,2025-12-18,2025-12,STK-BUR-TAR,Burner Stack 360 g,Polvos & Envasado,26.5,26.9,True,3.13,802,0.112,NIR (analizador infrarrojo),Aprobado
EN-00405,L202509-00621,2025-09-12,2025-09,NUT-POP-PK,Nutra Pops pack x12,Polvos & Envasado,23.6,25.1,True,3.4,489,0.071,Kjeldahl,Aprobado
EN-00406,L202506-00390,2025-06-14,2025-06,MEG-SOY,Mega Soy,Polvos & Envasado,25.5,24.8,True,4.21,717,0.037,Kjeldahl,Aprobado
EN-00407,L202607-01443,2026-07-18,2026-07,NUT-VEG-400,Nutra Vegan Protein Mocaccino,Polvos & Envasado,25.9,26.3,True,2.55,196,0.075,NIR (analizador infrarrojo),Aprobado
EN-00408,L202507-00451,2025-07-07,2025-07,BIP-COM-21,BiPro Complex Vainilla 2.1 lb,Polvos & Envasado,25.2,26.9,True,3.71,945,0.167,NIR (analizador infrarrojo),Aprobado
EN-00409,L202506-00373,2025-06-01,2025-06,BIP-LIT-24,BiPro Lite 2.4 lb,Polvos & Envasado,23.0,23.0,True,2.84,710,0.094,NIR (analizador infrarrojo),Aprobado
EN-00410,L202608-01527,2026-08-07,2026-08,NUT-ZOL,Zolé Vainilla 450 g,Polvos & Envasado,26.9,27.6,True,3.72,5264,0.035,NIR (analizador infrarrojo),Aprobado
EN-00411,L202507-00453,2025-07-27,2025-07,BIP-LIT-24,BiPro Lite 2.4 lb,Polvos & Envasado,22.6,22.9,True,2.72,848,0.091,NIR (analizador infrarrojo),Aprobado
EN-00412,L202505-00319,2025-05-09,2025-05,NUT-C,Nutra-C Ácido Ascórbico 200 g,Polvos & Envasado,24.6,24.3,True,3.51,1053,0.038,Absorción atómica,Aprobado
EN-00413,L202602-00983,2026-02-22,2026-02,ALI-FIT-COC,Fitbar Coco,Barras & Snacks,26.5,27.4,True,4.24,250,0.027,NIR (analizador infrarrojo),Aprobado
EN-00414,L202509-00598,2025-09-02,2025-09,BIP-COM-21,BiPro Complex Vainilla 2.1 lb,Polvos & Envasado,24.7,25.2,True,4.84,725,0.306,NIR (analizador infrarrojo),Aprobado
EN-00415,L202509-00603,2025-09-17,2025-09,MEG-CAR-COC,Mega Carbs Limonada de Coco,Polvos & Envasado,25.8,25.0,True,3.08,958,0.231,NIR (analizador infrarrojo),Aprobado
EN-00416,L202602-01011,2026-02-10,2026-02,MEG-CRE-10,Megaplex Creatine Power 10 lb,Polvos & Envasado,23.8,24.9,True,4.32,374,0.131,NIR (analizador infrarrojo),Aprobado
EN-00417,L202502-00133,2025-02-27,2025-02,RAD-ENX,Energy X,Polvos & Envasado,24.6,24.9,True,4.47,1022,0.078,NIR (analizador infrarrojo),Aprobado
EN-00418,L202511-00740,2025-11-16,2025-11,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,22.8,22.9,True,2.98,675,0.029,NIR (analizador infrarrojo),Aprobado
EN-00419,L202509-00588,2025-09-19,2025-09,ALI-PAN-WAF,Protein Pancake & Waffle,Horneados & Mezclas,22.8,22.8,True,4.58,817,0.009,NIR (analizador infrarrojo),Aprobado
EN-00420,L202507-00452,2025-07-23,2025-07,BIP-COM-21,BiPro Complex Vainilla 2.1 lb,Polvos & Envasado,23.0,23.0,True,3.05,1002,0.289,Absorción atómica,Aprobado
EN-00421,L202508-00512,2025-08-08,2025-08,ALI-FIT-CHO,Fitbar Chocolate,Barras & Snacks,26.5,27.3,True,3.21,748,0.028,NIR (analizador infrarrojo),Aprobado
EN-00422,L202606-01324,2026-06-21,2026-06,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,24.6,25.3,True,2.69,1478,0.039,NIR (analizador infrarrojo),Aprobado
EN-00423,L202511-00735,2025-11-20,2025-11,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,23.2,22.9,True,4.54,61,0.098,NIR (analizador infrarrojo),Aprobado
EN-00424,L202606-01309,2026-06-18,2026-06,BIP-CLA-2N,BiPro Classic Natural 2 lb,Polvos & Envasado,26.0,26.1,True,3.61,3019,0.078,NIR (analizador infrarrojo),Aprobado
EN-00425,L202602-01052,2026-02-16,2026-02,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),22.9,23.7,True,2.69,157,0.031,NIR (analizador infrarrojo),Aprobado
EN-00426,L202502-00126,2025-02-01,2025-02,NUT-RX,Nut-Rx Vainilla 400 g,Polvos & Envasado,24.5,25.2,True,4.41,2493,0.01,NIR (analizador infrarrojo),Aprobado
EN-00427,L202507-00505,2025-07-09,2025-07,STK-CRE-TAR,Crea Stack 1.3 lb,Polvos & Envasado,23.7,23.7,True,3.07,544,0.082,Kjeldahl,Aprobado
EN-00428,L202603-01125,2026-03-08,2026-03,RAD-MYT-12,Myth Legendary Pre-Workout x12,Bebidas RTD (lata),22.4,22.7,True,3.24,208,0.528,Microbiología,Aprobado
EN-00429,L202603-01068,2026-03-16,2026-03,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,26.2,26.8,True,2.95,784,0.099,Microbiología,Aprobado
EN-00430,L202603-01138,2026-03-22,2026-03,STK-COL,Collagen Stack 585 g,Polvos & Envasado,22.1,21.7,True,3.4,860,0.025,NIR (analizador infrarrojo),Aprobado
EN-00431,L202511-00743,2025-11-22,2025-11,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,25.3,26.3,True,3.16,482,0.086,Microbiología,Aprobado
EN-00432,L202506-00387,2025-06-16,2025-06,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,22.9,23.2,True,4.11,116,0.028,NIR (analizador infrarrojo),Aprobado
EN-00433,L202505-00290,2025-05-06,2025-05,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,23.1,23.5,True,5.04,147,0.239,NIR (analizador infrarrojo),Aprobado
EN-00434,L202602-01050,2026-02-14,2026-02,RAD-RES-12,Rescue · paca x12,Bebidas RTD (lata),26.0,25.9,True,3.89,4068,0.077,Kjeldahl,Aprobado
EN-00435,L202601-00902,2026-01-17,2026-01,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,23.8,25.7,True,2.63,879,0.042,NIR (analizador infrarrojo),Aprobado
EN-00436,L202608-01543,2026-08-11,2026-08,STK-BUR-TAR,Burner Stack 360 g,Polvos & Envasado,26.2,27.0,True,4.51,148,0.006,Microbiología,Aprobado
EN-00437,L202501-00054,2025-01-04,2025-01,NUT-POP-PK,Nutra Pops pack x12,Polvos & Envasado,23.3,22.6,True,3.97,1614,0.27,Microbiología,Aprobado
EN-00438,L202509-00611,2025-09-24,2025-09,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,24.7,25.1,True,3.13,497,0.115,Microbiología,Aprobado
EN-00439,L202509-00636,2025-09-23,2025-09,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),22.4,23.5,True,3.61,1506,0.254,NIR (analizador infrarrojo),Aprobado
EN-00440,L202607-01390,2026-07-04,2026-07,ALI-FIT-CHO,Fitbar Chocolate,Barras & Snacks,26.7,25.2,False,2.88,231,0.044,NIR (analizador infrarrojo),Aprobado
EN-00441,L202604-01181,2026-04-18,2026-04,MEG-CRE-2,Megaplex Creatine Power 2 lb,Polvos & Envasado,25.1,24.6,True,3.94,172,0.324,NIR (analizador infrarrojo),Aprobado
EN-00442,L202501-00041,2025-01-18,2025-01,MEG-SOY,Mega Soy,Polvos & Envasado,23.9,23.6,True,3.93,276,0.035,NIR (analizador infrarrojo),Aprobado
EN-00443,L202505-00340,2025-05-09,2025-05,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),23.7,23.9,True,4.0,1024,0.075,Microbiología,Aprobado
EN-00444,L202511-00749,2025-11-27,2025-11,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,24.7,24.3,True,1.39,280,0.126,Microbiología,Aprobado
EN-00445,L202601-00931,2026-01-01,2026-01,MEG-GAI-64,Gainz Vainilla 6.4 lb,Polvos & Envasado,27.0,26.6,True,3.34,2057,0.077,Microbiología,Aprobado
EN-00446,L202608-01495,2026-08-04,2026-08,BIP-LIT-24,BiPro Lite 2.4 lb,Polvos & Envasado,26.8,27.3,True,4.64,1349,0.112,Kjeldahl,Aprobado
EN-00447,L202605-01267,2026-05-07,2026-05,NUT-RX,Nut-Rx Vainilla 400 g,Polvos & Envasado,26.2,26.3,True,3.64,1980,0.028,NIR (analizador infrarrojo),Aprobado
EN-00448,L202502-00084,2025-02-08,2025-02,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,22.2,23.4,True,4.02,423,0.044,NIR (analizador infrarrojo),Aprobado
EN-00449,L202502-00116,2025-02-13,2025-02,MEG-SOY,Mega Soy,Polvos & Envasado,22.5,22.0,True,3.76,1942,0.004,NIR (analizador infrarrojo),Aprobado
EN-00450,L202604-01194,2026-04-11,2026-04,NUT-RX,Nut-Rx Vainilla 400 g,Polvos & Envasado,25.9,27.7,True,3.83,414,0.038,NIR (analizador infrarrojo),Aprobado
EN-00451,L202506-00354,2025-06-23,2025-06,ALI-FIT-CHO,Fitbar Chocolate,Barras & Snacks,22.9,22.8,True,3.2,328,0.177,NIR (analizador infrarrojo),Aprobado
EN-00452,L202603-01127,2026-03-02,2026-03,RAD-PWD,Radical Power Drink polvo,Polvos & Envasado,24.5,24.7,True,3.6,225,0.058,Microbiología,Aprobado
EN-00453,L202603-01075,2026-03-20,2026-03,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,22.6,22.9,True,4.71,2064,0.123,NIR (analizador infrarrojo),Aprobado
EN-00454,L202608-01474,2026-08-11,2026-08,ALI-FIT-CHO,Fitbar Chocolate,Barras & Snacks,22.2,22.4,True,3.98,244,0.069,Absorción atómica,Aprobado
EN-00455,L202504-00271,2025-04-21,2025-04,STK-BUR-L24,Burner Stack Lata · paca x24,Bebidas RTD (lata),23.3,25.3,True,3.02,514,0.289,NIR (analizador infrarrojo),Aprobado
EN-00456,L202602-00982,2026-02-11,2026-02,ALI-FIT-CHO,Fitbar Chocolate,Barras & Snacks,24.8,24.2,True,3.26,1728,0.039,Absorción atómica,Aprobado
EN-00457,L202605-01293,2026-05-12,2026-05,STK-GLU,Gluta Stack,Polvos & Envasado,24.2,24.9,True,3.04,4032,0.083,NIR (analizador infrarrojo),Aprobado
EN-00458,L202509-00610,2025-09-18,2025-09,MEG-GAI-64,Gainz Vainilla 6.4 lb,Polvos & Envasado,23.9,22.5,False,2.03,953,0.118,Absorción atómica,Cuarentena
EN-00459,L202605-01232,2026-05-20,2026-05,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,26.4,26.8,True,2.33,41,0.277,NIR (analizador infrarrojo),Aprobado
EN-00460,L202506-00378,2025-06-17,2025-06,MEG-CAR-COC,Mega Carbs Limonada de Coco,Polvos & Envasado,26.8,26.8,True,3.34,55,0.03,Kjeldahl,Aprobado
EN-00461,L202512-00834,2025-12-21,2025-12,MEG-CRE-10,Megaplex Creatine Power 10 lb,Polvos & Envasado,26.7,26.8,True,3.54,188,0.252,Microbiología,Aprobado
EN-00462,L202502-00097,2025-02-14,2025-02,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,22.7,22.3,True,5.49,327,0.039,NIR (analizador infrarrojo),Aprobado
EN-00463,L202510-00651,2025-10-27,2025-10,ALI-FIT-COC,Fitbar Coco,Barras & Snacks,24.5,26.6,True,3.9,475,0.016,Microbiología,Aprobado
EN-00464,L202507-00504,2025-07-17,2025-07,STK-CRE-SAC,Crea Stack Display sachets,Sachets & Display,26.2,25.9,True,4.23,113,0.005,Kjeldahl,Aprobado
EN-00465,L202607-01411,2026-07-12,2026-07,BIP-LIT-24,BiPro Lite 2.4 lb,Polvos & Envasado,22.1,22.3,True,4.3,2301,0.02,NIR (analizador infrarrojo),Aprobado
EN-00466,L202509-00594,2025-09-11,2025-09,BIP-CLA-2N,BiPro Classic Natural 2 lb,Polvos & Envasado,24.1,24.5,True,5.07,192,0.025,Absorción atómica,Aprobado
EN-00467,L202501-00049,2025-01-02,2025-01,NUT-POP-CAJ,Nutra Pops caja,Polvos & Envasado,26.0,27.0,True,4.34,1170,0.202,Absorción atómica,Aprobado
EN-00468,L202608-01529,2026-08-26,2026-08,RAD-ENX,Energy X,Polvos & Envasado,25.6,24.8,True,4.75,2171,0.472,NIR (analizador infrarrojo),Rechazado
EN-00469,L202604-01151,2026-04-27,2026-04,ALI-FIT-CHO,Fitbar Chocolate,Barras & Snacks,26.9,28.5,True,4.3,325,0.007,Kjeldahl,Aprobado
EN-00470,L202507-00468,2025-07-02,2025-07,MEG-SOY,Mega Soy,Polvos & Envasado,26.9,27.4,True,4.11,277,0.225,NIR (analizador infrarrojo),Aprobado
EN-00471,L202603-01088,2026-03-18,2026-03,BIP-COM-21,BiPro Complex Vainilla 2.1 lb,Polvos & Envasado,24.4,25.0,True,5.01,3024,0.011,NIR (analizador infrarrojo),Aprobado
EN-00472,L202503-00154,2025-03-04,2025-03,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,23.3,24.6,True,2.97,124,0.039,Kjeldahl,Aprobado
EN-00473,L202504-00238,2025-04-11,2025-04,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,23.7,24.0,True,2.77,1300,0.043,NIR (analizador infrarrojo),Rechazado
EN-00474,L202501-00055,2025-01-15,2025-01,NUT-POP-PK,Nutra Pops pack x12,Polvos & Envasado,22.1,22.7,True,3.22,2394,0.03,Absorción atómica,Aprobado
EN-00475,L202506-00395,2025-06-16,2025-06,NUT-POP-CAJ,Nutra Pops caja,Polvos & Envasado,23.5,23.4,True,3.38,351,0.268,NIR (analizador infrarrojo),Aprobado
EN-00476,L202502-00124,2025-02-16,2025-02,NUT-POP-PK,Nutra Pops pack x12,Polvos & Envasado,22.1,22.8,True,4.18,1018,0.087,NIR (analizador infrarrojo),Aprobado
EN-00477,L202506-00356,2025-06-25,2025-06,ALI-FIT-COC,Fitbar Coco,Barras & Snacks,26.9,27.5,True,3.53,1792,0.009,NIR (analizador infrarrojo),Aprobado
EN-00478,L202507-00432,2025-07-24,2025-07,ALI-FIT-COC,Fitbar Coco,Barras & Snacks,24.2,23.4,True,3.86,335,0.082,NIR (analizador infrarrojo),Aprobado
EN-00479,L202502-00135,2025-02-06,2025-02,RAD-PWD,Radical Power Drink polvo,Polvos & Envasado,25.5,26.3,True,3.18,2032,0.083,NIR (analizador infrarrojo),Aprobado
EN-00480,L202507-00474,2025-07-07,2025-07,NUT-POP-CAJ,Nutra Pops caja,Polvos & Envasado,24.8,24.7,True,2.37,481,0.058,Kjeldahl,Aprobado
EN-00481,L202504-00269,2025-04-25,2025-04,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),24.1,23.6,True,2.24,416,0.079,Microbiología,Aprobado
EN-00482,L202506-00386,2025-06-26,2025-06,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,25.0,25.7,True,3.24,1610,0.073,Kjeldahl,Aprobado
EN-00483,L202502-00098,2025-02-14,2025-02,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,22.2,22.6,True,4.8,430,0.425,Kjeldahl,Aprobado
EN-00484,L202504-00221,2025-04-11,2025-04,ALI-PAN-WAF,Protein Pancake & Waffle,Horneados & Mezclas,26.9,27.9,True,3.92,855,0.263,NIR (analizador infrarrojo),Aprobado
EN-00485,L202501-00042,2025-01-08,2025-01,MEG-SOY,Mega Soy,Polvos & Envasado,23.3,22.5,True,2.76,1352,0.035,NIR (analizador infrarrojo),Aprobado
EN-00486,L202504-00220,2025-04-27,2025-04,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,22.8,22.4,True,3.5,1247,0.069,NIR (analizador infrarrojo),Aprobado
EN-00487,L202608-01513,2026-08-27,2026-08,NUT-BAL,Nutra Balance x8 sobres,Sachets & Display,26.0,27.8,True,4.12,41,0.004,Kjeldahl,Aprobado
EN-00488,L202601-00921,2026-01-27,2026-01,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,24.2,24.7,True,2.88,149,0.046,NIR (analizador infrarrojo),Aprobado
EN-00489,L202512-00830,2025-12-08,2025-12,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,25.2,26.0,True,4.61,302,0.068,Microbiología,Aprobado
EN-00490,L202601-00908,2026-01-25,2026-01,BIP-CLA-3CC,BiPro Classic Cookies 3 lb,Polvos & Envasado,25.4,24.5,True,3.88,1389,0.037,Absorción atómica,Aprobado
EN-00491,L202510-00665,2025-10-02,2025-10,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,24.1,24.2,True,3.33,1227,0.094,Microbiología,Aprobado
EN-00492,L202607-01427,2026-07-25,2026-07,MER-BAC,Nutramerican Backpack,Maquila externa,24.0,25.0,True,2.48,496,0.005,Kjeldahl,Aprobado
EN-00493,L202501-00013,2025-01-02,2025-01,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,22.0,23.3,True,3.93,598,0.013,NIR (analizador infrarrojo),Aprobado
EN-00494,L202604-01197,2026-04-20,2026-04,NUT-ZOL,Zolé Vainilla 450 g,Polvos & Envasado,24.4,24.7,True,4.51,196,0.037,NIR (analizador infrarrojo),Aprobado
EN-00495,L202601-00944,2026-01-18,2026-01,NUT-POP-PK,Nutra Pops pack x12,Polvos & Envasado,22.4,22.6,True,2.56,761,0.013,Kjeldahl,Aprobado
EN-00496,L202509-00644,2025-09-05,2025-09,STK-CRE-TAR,Crea Stack 1.3 lb,Polvos & Envasado,24.0,22.3,False,4.61,1955,0.274,Kjeldahl,Aprobado
EN-00497,L202608-01482,2026-08-26,2026-08,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,25.7,25.6,True,3.37,2332,0.008,Microbiología,Aprobado
EN-00498,L202512-00857,2025-12-19,2025-12,NUT-VEG-400,Nutra Vegan Protein Mocaccino,Polvos & Envasado,25.5,25.2,True,3.6,443,0.105,Microbiología,Aprobado
EN-00499,L202512-00831,2025-12-14,2025-12,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,22.8,23.0,True,2.87,667,0.011,NIR (analizador infrarrojo),Aprobado
EN-00500,L202510-00682,2025-10-24,2025-10,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,25.2,24.3,True,3.13,235,0.009,Microbiología,Aprobado
EN-00501,L202605-01254,2026-05-10,2026-05,MEG-GAI-64,Gainz Vainilla 6.4 lb,Polvos & Envasado,23.4,23.7,True,2.86,560,0.03,NIR (analizador infrarrojo),Aprobado
EN-00502,L202601-00975,2026-01-20,2026-01,STK-CRE-TAR,Crea Stack 1.3 lb,Polvos & Envasado,24.2,24.8,True,3.64,377,0.187,Microbiología,Aprobado
EN-00503,L202606-01368,2026-06-12,2026-06,RAD-RES-12,Rescue · paca x12,Bebidas RTD (lata),23.6,24.4,True,3.92,1014,0.098,Kjeldahl,Aprobado
EN-00504,L202606-01375,2026-06-19,2026-06,STK-BUR-TAR,Burner Stack 360 g,Polvos & Envasado,26.4,26.3,True,3.59,179,0.126,NIR (analizador infrarrojo),Aprobado
